"Action","アクション"
"Actions","アクション"
"Add Category","カテゴリー追加"
"After Product Description","商品説明の後"
"After Product Price","商品価格の後"
"All files inside will be moved to Default Category. Are you sure you want to proceed?","内部の全ファイルは標準カテゴリーに移動されます。本当に実行してもいいですか？"
"All Store Views","全ストアビュー"
"Allow Guests to Download","ゲストにダウンロードを許可する"
"Allow guests to download","ゲストにダウンロードを許可する"
"Are you sure you want to do this?","本当に実行しても良いですか？"
"Attachments","添付ファイル"
"Attrib. Set Name","属性セット名"
"Auto","自動"
"B","B"
"Before Product Description","商品説明の前"
"Block position","ブロックの位置"
"Categories does not exist","カテゴリーが存在しません"
"Category","カテゴリー"
"Category was successfully deleted","カテゴリーが正常に削除されました"
"Category was successfully saved","カテゴリーが正常に保存されました"
"Change status","ステータス変更"
"Choose Store View","ストアビューの選択"
"Collapse All","全て折り畳む"
"Configuration","設定"
"Customer Groups","お客様グループ"
"Date Added","追加日"
"Date Modified","変更日"
"Delete","削除"
"Delete Category","カテゴリー削除"
"Description","説明"
"Disabled","無効"
"Display File Size","ファイルサイズを表示"
"Display Number of Downloads","ダウンロード数を表示"
"Download","ダウンロード"
"Downloads","ダウンロード"
"Downloads Limit","ダウンロード制限"
"Edit","編集"
"Edit Category \'%s\'","カテゴリー「%s」を編集"
"Edit File \'%s\'","ファイル「%s」を編集"
"Enabled","有効"
"Expand All","全て展開"
"File","ファイル"
"File do not exist","ファイルが存在しません"
"File Downloads","ファイルダウンロード"
"File Downloads & Product Attachments","ファイルダウンロード＆商品添付ファイル"
"File Downloads Title","ファイルダウンロードタイトル"
"File Size Precision","ファイルサイズ精度"
"File was successfully deleted","ファイルは正常に削除されました"
"File was successfully saved","ファイルは正常に保存されました"
"Files","ファイル"
"General Information","一般情報"
"Get Link","リンク取得"
"ID","ID"
"items selected","アイテムが選択されています"
"KB","KB"
"Kilobytes","キロバイト"
"Manage Categories","カテゴリー管理"
"Manage Files","ファイル管理"
"MB","MB"
"Megabytes","メガバイト"
"Name","名前"
"No","いいえ"
"Please confirm site switching. All data that hasn\'t been saved will be lost","サイト切り替えを確認して下さい。保存されていない全てのデータは失われます"
"Please select Category(ies)","カテゴリーを選択して下さい"
"Please select File(s)","ファイルを選択して下さい"
"Please set resource file and link type","リソースファイルとリンクタイプを設定して下さい"
"Price","価格"
"Product Downloads","商品ダウンロード"
"Product Downloads Title","商品ダウンロードタイトル"
"Products","商品"
"Qty","数量"
"Register to Download","登録してダウンロード"
"Requested file not available now","要求されたファイルは現在無効です"
"Reset downloads","ダウンロードをリセット"
"Save","保存"
"Save And Continue Edit","保存して編集を続ける"
"Save Category","カテゴリー保存"
"Select All","全て選択"
"Select Visible","表示中を選択"
"Set","設定"
"Short Description","簡易説明"
"Size","サイズ"
"SKU","SKU"
"Sorry, there was an error getting the file","申し訳ございません。ファイルの取得時にエラーが発生しました"
"Status","ステータス"
"Total of %d record(s) were successfully deleted","全%dレコードが正常に削除されました"
"Total of %d record(s) were successfully updated","全%dレコードが正常に更新されました"
"Type","タイプ"
"Unable to find Category to save","保存するカテゴリーが見つかりません"
"Unable to find File to save","保存するファイルが見つかりません"
"Unselect All","全て選択解除"
"Unselect Visible","表示中を選択解除"
"Upload File","ファイルのアップロード"
"Use Config","設定を使用"
"Visibility","可視性"
"Yes","はい"
